iso3,Date,debt-to-gdp
GBR,1992-10-01,33.227
GBR,1992-11-01,33.227
GBR,1992-12-01,33.227
GBR,1993-01-01,37.96
GBR,1993-02-01,37.96
GBR,1993-03-01,37.96
GBR,1993-04-01,37.96
GBR,1993-05-01,37.96
GBR,1993-06-01,37.96
GBR,1993-07-01,37.96
GBR,1993-08-01,37.96
GBR,1993-09-01,37.96
GBR,1993-10-01,37.96
GBR,1993-11-01,37.96
GBR,1993-12-01,37.96
GBR,1994-01-01,40.724
GBR,1994-02-01,40.724
GBR,1994-03-01,40.724
GBR,1994-04-01,40.724
GBR,1994-05-01,40.724
GBR,1994-06-01,40.724
GBR,1994-07-01,40.724
GBR,1994-08-01,40.724
GBR,1994-09-01,40.724
GBR,1994-10-01,40.724
GBR,1994-11-01,40.724
GBR,1994-12-01,40.724
GBR,1995-01-01,43.653
GBR,1995-02-01,43.653
GBR,1995-03-01,43.653
GBR,1995-04-01,43.653
GBR,1995-05-01,43.653
GBR,1995-06-01,43.653
GBR,1995-07-01,43.653
GBR,1995-08-01,43.653
GBR,1995-09-01,43.653
GBR,1995-10-01,43.653
GBR,1995-11-01,43.653
GBR,1995-12-01,43.653
GBR,1996-01-01,43.714
GBR,1996-02-01,43.714
GBR,1996-03-01,43.714
GBR,1996-04-01,43.714
GBR,1996-05-01,43.714
GBR,1996-06-01,43.714
GBR,1996-07-01,43.714
GBR,1996-08-01,43.714
GBR,1996-09-01,43.714
GBR,1996-10-01,43.714
GBR,1996-11-01,43.714
GBR,1996-12-01,43.714
GBR,1997-01-01,44.132
GBR,1997-02-01,44.132
GBR,1997-03-01,44.132
GBR,1997-04-01,44.132
GBR,1997-05-01,44.132
GBR,1997-06-01,44.132
GBR,1997-07-01,44.132
GBR,1997-08-01,44.132
GBR,1997-09-01,44.132
GBR,1997-10-01,44.132
GBR,1997-11-01,44.132
GBR,1997-12-01,44.132
GBR,1998-01-01,41.97
GBR,1998-02-01,41.97
GBR,1998-03-01,41.97
GBR,1998-04-01,41.97
GBR,1998-05-01,41.97
GBR,1998-06-01,41.97
GBR,1998-07-01,41.97
GBR,1998-08-01,41.97
GBR,1998-09-01,41.97
GBR,1998-10-01,41.97
GBR,1998-11-01,41.97
GBR,1998-12-01,41.97
GBR,1999-01-01,40.41
GBR,1999-02-01,40.41
GBR,1999-03-01,40.41
GBR,1999-04-01,40.41
GBR,1999-05-01,40.41
GBR,1999-06-01,40.41
GBR,1999-07-01,40.41
GBR,1999-08-01,40.41
GBR,1999-09-01,40.41
GBR,1999-10-01,40.41
GBR,1999-11-01,40.41
GBR,1999-12-01,40.41
GBR,2000-01-01,37.686
GBR,2000-02-01,37.686
GBR,2000-03-01,37.686
GBR,2000-04-01,37.686
GBR,2000-05-01,37.686
GBR,2000-06-01,37.686
GBR,2000-07-01,37.686
GBR,2000-08-01,37.686
GBR,2000-09-01,37.686
GBR,2000-10-01,37.686
GBR,2000-11-01,37.686
GBR,2000-12-01,37.686
GBR,2001-01-01,34.958
GBR,2001-02-01,34.958
GBR,2001-03-01,34.958
GBR,2001-04-01,34.958
GBR,2001-05-01,34.958
GBR,2001-06-01,34.958
GBR,2001-07-01,34.958
GBR,2001-08-01,34.958
GBR,2001-09-01,34.958
GBR,2001-10-01,34.958
GBR,2001-11-01,34.958
GBR,2001-12-01,34.958
GBR,2002-01-01,35.434
GBR,2002-02-01,35.434
GBR,2002-03-01,35.434
GBR,2002-04-01,35.434
GBR,2002-05-01,35.434
GBR,2002-06-01,35.434
GBR,2002-07-01,35.434
GBR,2002-08-01,35.434
GBR,2002-09-01,35.434
GBR,2002-10-01,35.434
GBR,2002-11-01,35.434
GBR,2002-12-01,35.434
GBR,2003-01-01,36.764
GBR,2003-02-01,36.764
GBR,2003-03-01,36.764
GBR,2003-04-01,36.764
GBR,2003-05-01,36.764
GBR,2003-06-01,36.764
GBR,2003-07-01,36.764
GBR,2003-08-01,36.764
GBR,2003-09-01,36.764
GBR,2003-10-01,36.764
GBR,2003-11-01,36.764
GBR,2003-12-01,36.764
GBR,2004-01-01,39.802
GBR,2004-02-01,39.802
GBR,2004-03-01,39.802
GBR,2004-04-01,39.802
GBR,2004-05-01,39.802
GBR,2004-06-01,39.802
GBR,2004-07-01,39.802
GBR,2004-08-01,39.802
GBR,2004-09-01,39.802
GBR,2004-10-01,39.802
GBR,2004-11-01,39.802
GBR,2004-12-01,39.802
GBR,2005-01-01,41.0
GBR,2005-02-01,41.0
GBR,2005-03-01,41.0
GBR,2005-04-01,41.0
GBR,2005-05-01,41.0
GBR,2005-06-01,41.0
GBR,2005-07-01,41.0
GBR,2005-08-01,41.0
GBR,2005-09-01,41.0
GBR,2005-10-01,41.0
GBR,2005-11-01,41.0
GBR,2005-12-01,41.0
GBR,2006-01-01,42.058
GBR,2006-02-01,42.058
GBR,2006-03-01,42.058
GBR,2006-04-01,42.058
GBR,2006-05-01,42.058
GBR,2006-06-01,42.058
GBR,2006-07-01,42.058
GBR,2006-08-01,42.058
GBR,2006-09-01,42.058
GBR,2006-10-01,42.058
GBR,2006-11-01,42.058
GBR,2006-12-01,42.058
GBR,2007-01-01,43.174
GBR,2007-02-01,43.174
GBR,2007-03-01,43.174
GBR,2007-04-01,43.174
GBR,2007-05-01,43.174
GBR,2007-06-01,43.174
GBR,2007-07-01,43.174
GBR,2007-08-01,43.174
GBR,2007-09-01,43.174
GBR,2007-10-01,43.174
GBR,2007-11-01,43.174
GBR,2007-12-01,43.174
GBR,2008-01-01,50.827
GBR,2008-02-01,50.827
GBR,2008-03-01,50.827
GBR,2008-04-01,50.827
GBR,2008-05-01,50.827
GBR,2008-06-01,50.827
GBR,2008-07-01,50.827
GBR,2008-08-01,50.827
GBR,2008-09-01,50.827
GBR,2008-10-01,50.827
GBR,2008-11-01,50.827
GBR,2008-12-01,50.827
GBR,2009-01-01,64.915
GBR,2009-02-01,64.915
GBR,2009-03-01,64.915
GBR,2009-04-01,64.915
GBR,2009-05-01,64.915
GBR,2009-06-01,64.915
GBR,2009-07-01,64.915
GBR,2009-08-01,64.915
GBR,2009-09-01,64.915
GBR,2009-10-01,64.915
GBR,2009-11-01,64.915
GBR,2009-12-01,64.915
GBR,2010-01-01,75.86
GBR,2010-02-01,75.86
GBR,2010-03-01,75.86
GBR,2010-04-01,75.86
GBR,2010-05-01,75.86
GBR,2010-06-01,75.86
GBR,2010-07-01,75.86
GBR,2010-08-01,75.86
