Date,Ticker,Open,High,Low,Close
02/26/2018,IGGRC10D,,,,4.4050000
02/27/2018,IGGRC10D,,,,4.4020000
02/28/2018,IGGRC10D,,,,4.3830000
03/01/2018,IGGRC10D,,,,4.4280000
03/02/2018,IGGRC10D,,,,4.4790000
03/05/2018,IGGRC10D,,,,4.3590000
03/06/2018,IGGRC10D,,,,4.3390000
03/07/2018,IGGRC10D,,,,4.3230000
03/08/2018,IGGRC10D,,,,4.1520000
03/09/2018,IGGRC10D,,,,4.1580000
03/12/2018,IGGRC10D,,,,4.1950000
03/13/2018,IGGRC10D,,,,4.1670000
03/14/2018,IGGRC10D,,,,4.1420000
03/15/2018,IGGRC10D,,,,4.1720000
03/16/2018,IGGRC10D,,,,4.2090000
03/19/2018,IGGRC10D,,,,4.1900000
03/20/2018,IGGRC10D,,,,4.1860000
03/21/2018,IGGRC10D,,,,4.1830000
03/22/2018,IGGRC10D,,,,4.2180000
03/23/2018,IGGRC10D,,,,4.2990000
03/26/2018,IGGRC10D,,,,4.3810000
03/27/2018,IGGRC10D,,,,4.4280000
03/28/2018,IGGRC10D,,,,4.3750000
03/29/2018,IGGRC10D,,,,4.3470000
03/30/2018,IGGRC10D,,,,4.2910000
04/02/2018,IGGRC10D,,,,4.2880000
04/03/2018,IGGRC10D,,,,4.2590000
04/04/2018,IGGRC10D,,,,4.2460000
04/05/2018,IGGRC10D,,,,4.0650000
04/06/2018,IGGRC10D,,,,4.0080000
04/09/2018,IGGRC10D,,,,4.0060000
04/10/2018,IGGRC10D,,,,4.0100000
04/11/2018,IGGRC10D,,,,4.0630000
04/12/2018,IGGRC10D,,,,4.0880000
04/13/2018,IGGRC10D,,,,4.0340000
04/16/2018,IGGRC10D,,,,4.0710000
04/17/2018,IGGRC10D,,,,4.0240000
04/18/2018,IGGRC10D,,,,4.0010000
04/19/2018,IGGRC10D,,,,4.0130000
