iso3c,date,gain
CMR,2017,36.3805601325895
CMR,2018,36.6000655499215
CMR,2019,36.6143657655654
CMR,2020,36.9341049856799
CMR,2021,36.8066711822272
CMR,2022,36.8335719942525
CMR,2023,36.7198947112249
COD,1995,33.4206709389996
COD,1996,33.3371536413779
COD,1997,33.2529473928796
COD,1998,33.1856823627135
COD,1999,33.1260852602358
COD,2000,33.0891005366912
COD,2001,33.5162586973825
COD,2002,33.5637144310111
COD,2003,33.4492746996861
COD,2004,33.6170901051621
COD,2005,32.5491040382343
COD,2006,29.5289143929092
COD,2007,29.411682416303
COD,2008,29.0563987712295
COD,2009,29.0917897267559
COD,2010,27.9161735725282
COD,2011,28.8771172603016
COD,2012,28.921916821552
COD,2013,29.054142193256
COD,2014,29.0090503036449
COD,2015,29.7430233625023
COD,2016,32.0408597842776
COD,2017,31.9102199850851
COD,2018,32.4230371026027
COD,2019,32.3414699482309
COD,2020,32.3573622260952
COD,2021,32.4431382069979
COD,2022,32.5597328916759
COD,2023,32.663081371401
COG,1995,34.7191579955438
COG,1996,34.7799503969908
COG,1997,34.1617121289432
COG,1998,33.5787537507532
COG,1999,34.1269220270064
COG,2000,34.7369254116957
COG,2001,34.801518888168
COG,2002,34.5416602251398
COG,2003,34.3320452172929
COG,2004,34.1179205688317
COG,2005,33.6421412122598
COG,2006,32.0484794884219
COG,2007,31.969827819735
COG,2008,32.3640877154729
COG,2009,32.0748813147319
COG,2010,32.1452611194788
COG,2011,31.6664510408974
COG,2012,30.8283392213592
COG,2013,31.526061209211
COG,2014,31.9730089746231
COG,2015,31.8376211688657
COG,2016,34.0132619231725
COG,2017,33.0022833014366
COG,2018,33.0781533882959
COG,2019,32.5418359468607
COG,2020,32.1633941805326
COG,2021,32.7746806819722
COG,2022,32.6942232140309
COG,2023,32.792887475684
COL,1995,41.4020990763065
COL,1996,41.4044345762771
COL,1997,41.4810262105359
COL,1998,41.5668909179535
COL,1999,41.6777388951812
COL,2000,41.9751406999595
COL,2001,42.5578387887582
COL,2002,42.9853320445386
COL,2003,43.4755424771724
COL,2004,43.9275787348197
COL,2005,44.344473406906
COL,2006,42.938620837181
COL,2007,42.716478213428
COL,2008,43.5649648952426
COL,2009,44.297305646571
COL,2010,44.4624142560481
COL,2011,45.2691739302045
COL,2012,45.1678742425547
COL,2013,45.167633555522
COL,2014,46.1173977692486
COL,2015,46.2698653125443
COL,2016,45.9833392902545
COL,2017,45.9193311671419
COL,2018,46.1441277689144
COL,2019,46.8038319285223
COL,2020,46.9771373786387
COL,2021,46.7463310624448
COL,2022,46.820482091427
COL,2023,47.0303318240402
COM,1995,35.182096718809
COM,1996,35.3129261461198
COM,1997,35.2876746357313
COM,1998,35.4073169447258
COM,1999,36.0886741656575
COM,2000,35.4727598164934
COM,2001,36.1649450126742
COM,2002,36.89292861048
COM,2003,36.7064164708381
COM,2004,35.9942521295888
COM,2005,37.4956328310668
COM,2006,36.1904416599106
COM,2007,36.7079414262519
COM,2008,35.6897628919271
COM,2009,35.6922278031647
COM,2010,35.6191072337156
COM,2011,35.216962877625
COM,2012,35.315479660893
COM,2013,36.0046046839962
COM,2014,36.7927029171149
COM,2015,36.6359857547861
COM,2016,37.1602073975425
COM,2017,37.0995196039013
COM,2018,36.660207442975
COM,2019,35.3388400220974
