iso3c,year,y_res,gain_t,gain_lag1,gain_lag2
QAT,2013,-0.17091213238187386,56.7207629968733,55.8525060503259,
ROU,2013,-1.8728521897757662,49.1811422738864,48.5082848300107,49.6948134918629
RUS,2013,-1.7103792281245989,61.3380216671254,60.9500856932995,60.3727179693895
SGP,2013,-0.1059859955390893,70.0350347418633,69.3634894014146,69.194167561361
SVK,2013,-1.5237951480757008,54.2350703021709,53.898715499535,54.6610596899872
SVN,2013,0.5506388717239821,63.9217048358574,64.1505859143831,64.2502585843449
SWE,2013,0.2743127687619852,72.6293111499406,72.7761556285392,72.4294658762289
THA,2013,-0.47802583259201703,48.5046527573735,47.9571374894321,47.840772593748
TUR,2013,-1.1902637252489692,52.4057267496786,51.9348312713256,50.9915742436529
UGA,2013,-1.1539244116527492,31.9854538648142,32.2575886696314,
VNM,2013,-1.4257809828002053,42.8675985969061,42.1402447115063,41.7527097728595
ZAF,2013,-0.5777876275790863,46.034586494168,45.2921524321444,45.5368295938163
ZMB,2013,-1.242390466960991,39.0554467278667,38.8793229210586,38.3622341253679
ARG,2014,1.0988829264279207,45.0769981298042,45.5120610080099,45.8440545973499
ARM,2014,-2.683123454000347,52.8751543790892,51.7067198309547,
AUS,2014,-0.3470673521526222,69.3498753499113,69.2487818133458,69.292570436299
AUT,2014,-0.955115570485135,69.4587848810567,69.1420909725543,68.1252630035586
BEL,2014,-0.7906376060579361,63.7000838790869,63.0380666492764,62.6208211790861
BGD,2014,-0.7890865941629226,33.484142934222,44.5462997450783,44.5001904681286
BGR,2014,-0.13934171747062274,53.077255007044,52.4488771844555,52.1167427621843
BRA,2014,1.380262054556317,46.815137006648,51.838477704925,51.7205956061326
BWA,2014,-1.4401500747166422,48.0499560322177,47.1123253194728,46.9775856114489
CAN,2014,-0.030461479746565046,70.156111859112,69.9347988967918,69.897957310751
CHE,2014,-0.3439794482968228,73.0579006486609,72.6898406488804,72.2384936546572
CHN,2014,0.1738966158133899,50.9221017460255,58.1600672887841,57.4579328822538
COL,2014,-0.3568188123538443,46.1173977692486,45.167633555522,45.1678742425547
CYP,2014,0.09488757744265985,57.4581779152689,57.3027074947098,56.945814949525
CZE,2014,-0.7226960733567098,62.5223762099836,61.3226548711927,60.6722329259043
DEU,2014,-0.6321671805388508,71.3657868515424,70.6268199144864,70.3520765937773
DNK,2014,-0.44349271244534827,73.8856930180811,74.1245083441789,74.0291333456952
EGY,2014,0.31564275868437974,44.496447560045,44.1337805861058,44.0546016648168
ESP,2014,-2.1064384695726313,60.5731276335644,60.8850204845965,61.5223307659896
FIN,2014,-0.6267366748566539,75.4842312934337,75.2760567927729,75.3132621750648
FRA,2014,-0.7865461475623418,67.902035082945,67.282023522172,67.8427385045641
GBR,2014,-0.08556166093814158,71.6382779157715,70.3595684845916,70.0260497938114
GRC,2014,-2.607055678082679,55.9987128588369,55.243796614294,54.0820614600343
HRV,2014,-1.0727940569738539,53.5314701003745,52.8600752624064,52.1270623497936
HUN,2014,-0.5377177560567663,55.8241120884238,56.1590081670783,56.2667577220418
IDN,2014,1.184095559406824,41.4263723572565,48.6220239471262,48.2834808816239
IND,2014,0.07204942565049777,37.1736303015719,47.0828170129258,46.7763978703442
IRL,2014,-1.3222383207470845,65.2585133899059,64.1086741610711,62.6922641605872
ISL,2014,1.0105053774712407,71.9485773008219,70.2438263244028,70.1270993832033
ISR,2014,-0.7457108588289418,61.5024932879861,61.1096666597581,61.0993437283113
ITA,2014,-1.7065257116928265,55.6274862593458,54.8486447834228,55.1480969503801
JPN,2014,-0.3642671376431912,67.4514126204882,69.7872389275771,69.4147397501226
KEN,2014,-1.7548855280693108,34.9247298048315,34.09202005799,33.5350798978583
KOR,2014,0.14389636013530305,66.661477978266,66.1276782510062,65.3259331518401
LTU,2014,-0.9288310444446775,59.3802988969953,57.6444712294698,57.1684663906218
LUX,2014,-0.8839696430198289,70.0833808992439,69.5866015706854,69.263763958183
LVA,2014,-0.7323751979204365,58.5399137138503,57.8767585666726,56.9399163300324
MEX,2014,0.22881642386570444,46.4527938489044,54.1450096961865,54.3064875782819
MLT,2014,-0.48406593994628955,57.816794508327,58.1192193614702,57.8145684422777
