date,yield,iso3
1993-11-01,5.868636363636364,DEU
1993-12-01,5.714545454545455,DEU
1994-01-01,5.648095238095238,DEU
1994-02-01,5.8905,DEU
1994-03-01,6.32304347826087,DEU
1994-04-01,6.453684210526316,DEU
1994-05-01,6.660500000000001,DEU
1994-06-01,7.056363636363637,DEU
1994-07-01,6.89,DEU
1994-08-01,7.098695652173913,DEU
1994-09-01,7.543636363636364,DEU
1994-10-01,7.545714285714286,DEU
1994-11-01,7.479090909090909,DEU
1994-12-01,7.4590476190476185,DEU
1995-01-01,7.571818181818182,DEU
1995-02-01,7.404999999999999,DEU
1995-03-01,7.26,DEU
1995-04-01,7.073888888888889,DEU
1995-05-01,6.849545454545455,DEU
1995-06-01,6.715238095238096,DEU
1995-07-01,6.787142857142857,DEU
1995-08-01,6.710869565217391,DEU
1995-09-01,6.558571428571428,DEU
1995-10-01,6.530909090909091,DEU
1995-11-01,6.319999999999999,DEU
1995-12-01,6.078421052631579,DEU
1996-01-01,5.8963636363636365,DEU
1996-02-01,6.201904761904762,DEU
1996-03-01,6.441428571428572,DEU
1996-04-01,6.3945,DEU
1996-05-01,6.462380952380952,DEU
1996-06-01,6.569500000000001,DEU
1996-07-01,6.47,DEU
1996-08-01,6.308636363636364,DEU
1996-09-01,6.226190476190476,DEU
1996-10-01,6.006521739130435,DEU
1996-11-01,5.845714285714286,DEU
1996-12-01,5.794736842105263,DEU
1997-01-01,5.8140909090909085,DEU
1997-02-01,5.5725,DEU
1997-03-01,5.762631578947368,DEU
1997-04-01,5.891818181818182,DEU
1997-05-01,5.809,DEU
1997-06-01,5.743333333333333,DEU
1997-07-01,5.560434782608696,DEU
1997-08-01,5.87,DEU
1997-09-01,5.8104545454545455,DEU
1997-10-01,5.753478260869565,DEU
1997-11-01,5.7585,DEU
1997-12-01,5.5024999999999995,DEU
1998-01-01,5.284285714285714,DEU
1998-02-01,5.1545000000000005,DEU
1998-03-01,5.0636363636363635,DEU
1998-04-01,5.056,DEU
1998-05-01,5.132,DEU
1998-06-01,4.944285714285714,DEU
1998-07-01,4.872173913043478,DEU
1998-08-01,4.6257142857142854,DEU
1998-09-01,4.309090909090909,DEU
1998-10-01,4.323636363636364,DEU
1998-11-01,4.3342857142857145,DEU
1998-12-01,4.072857142857143,DEU
1999-01-01,3.91,DEU
1999-02-01,4.0475,DEU
1999-03-01,4.25695652173913,DEU
1999-04-01,4.0775,DEU
1999-05-01,4.248947368421053,DEU
1999-06-01,4.594545454545455,DEU
1999-07-01,4.903181818181818,DEU
1999-08-01,5.097272727272728,DEU
1999-09-01,5.2736363636363635,DEU
1999-10-01,5.498095238095238,DEU
1999-11-01,5.210909090909091,DEU
1999-12-01,5.286818181818182,DEU
2000-01-01,5.673333333333334,DEU
2000-02-01,5.6242857142857146,DEU
2000-03-01,5.432173913043478,DEU
2000-04-01,5.336666666666667,DEU
2000-05-01,5.498695652173913,DEU
2000-06-01,5.3145454545454545,DEU
2000-07-01,5.388571428571429,DEU
2000-08-01,5.306521739130434,DEU
2000-09-01,5.331428571428571,DEU
2000-10-01,5.284090909090909,DEU
2000-11-01,5.25,DEU
2000-12-01,4.997894736842106,DEU
2001-01-01,4.896818181818182,DEU
2001-02-01,4.874499999999999,DEU
2001-03-01,4.778636363636363,DEU
2001-04-01,4.97,DEU
2001-05-01,5.200434782608696,DEU
2001-06-01,5.188571428571429,DEU
2001-07-01,5.204090909090909,DEU
2001-08-01,5.027826086956522,DEU
2001-09-01,5.05,DEU
2001-10-01,4.62,DEU
2001-11-01,4.460909090909091,DEU
2001-12-01,4.759444444444444,DEU
2002-01-01,4.869545454545454,DEU
2002-02-01,4.9265,DEU
2002-03-01,5.1675,DEU
2002-04-01,5.161428571428571,DEU
2002-05-01,5.171304347826087,DEU
2002-06-01,5.0265,DEU
2002-07-01,4.873913043478261,DEU
2002-08-01,4.59409090909091,DEU
2002-09-01,4.390952380952381,DEU
2002-10-01,4.478695652173913,DEU
2002-11-01,4.497619047619048,DEU
2002-12-01,4.347368421052631,DEU
2003-01-01,4.190454545454545,DEU
2003-02-01,3.965,DEU
2003-03-01,4.018571428571429,DEU
2003-04-01,4.164499999999999,DEU
2003-05-01,3.8495454545454546,DEU
2003-06-01,3.644285714285714,DEU
2003-07-01,4.000869565217391,DEU
2003-08-01,4.154285714285714,DEU
2003-09-01,4.197272727272727,DEU
2003-10-01,4.252608695652174,DEU
2003-11-01,4.3965000000000005,DEU
2003-12-01,4.3371,DEU
2004-01-01,4.187619047619047,DEU
2004-02-01,4.129,DEU
2004-03-01,3.9378260869565214,DEU
2004-04-01,4.117,DEU
2004-05-01,4.278095238095238,DEU
2004-06-01,4.366363636363636,DEU
2004-07-01,4.256818181818182,DEU
2004-08-01,4.1036363636363635,DEU
2004-09-01,4.045909090909091,DEU
2004-10-01,3.9176190476190476,DEU
2004-11-01,3.811363636363636,DEU
2004-12-01,3.650590909090909,DEU
2005-01-01,3.588095238095238,DEU
2005-02-01,3.5645000000000002,DEU
2005-03-01,3.718571428571429,DEU
2005-04-01,3.505714285714286,DEU
2005-05-01,3.3468181818181817,DEU
2005-06-01,3.191363636363636,DEU
2005-07-01,3.229047619047619,DEU
2005-08-01,3.252173913043478,DEU
2005-09-01,3.088181818181818,DEU
2005-10-01,3.255238095238095,DEU
2005-11-01,3.4681818181818183,DEU
2005-12-01,3.3699999999999997,DEU
2006-01-01,3.334090909090909,DEU
2006-02-01,3.4829999999999997,DEU
2006-03-01,3.648695652173913,DEU
2006-04-01,3.9075,DEU
2006-05-01,3.9821739130434786,DEU
2006-06-01,3.9868181818181814,DEU
2006-07-01,4.016190476190476,DEU
2006-08-01,3.89304347826087,DEU
2006-09-01,3.7609523809523813,DEU
2006-10-01,3.794545454545455,DEU
2006-11-01,3.727272727272727,DEU
2006-12-01,3.7871428571428574,DEU
2007-01-01,4.014782608695652,DEU
2007-02-01,4.052,DEU
2007-03-01,3.945909090909091,DEU
2007-04-01,4.154736842105263,DEU
2007-05-01,4.282380952380953,DEU
2007-06-01,4.572380952380952,DEU
2007-07-01,4.521818181818182,DEU
2007-08-01,4.304347826086956,DEU
