date,iso3c,year,yield_with_spread,sovereign_spread,cpi_yoy,gdp_annual_growth_rate,gdp_per_capita,gross gdp,debt_to_gdp,deficit_to_gdp,current_account_balance,vulnerability,wgi_cc,wgi_ge,wgi_pv,wgi_rl,wgi_rq,wgi_va,GAIN
1991-01-01,CHN,1991,,,,9.2,359.122,415.9460000000001,,179.21899999999997,,,,,,,,,
1992-01-01,CHN,1992,,,,14.225,422.89900000000006,495.51500000000004,,211.101,,,,,,,,,
1993-01-01,CHN,1993,,,,14.0,524.75,621.918,,262.066,,,,,,,,,
1994-01-01,CHN,1994,,,24.178301311351728,13.200000000000001,472.50499999999994,566.297,,235.5855,,,,,,,,,
1995-01-01,CHN,1995,,,17.047987952595278,11.075000000000001,609.022,737.654,21.423999999999996,304.293,,0.406837482872689,,,,,,,5.36095584877343
1996-01-01,CHN,1996,,,8.331933530910668,10.0,709.843,868.77,21.221,354.82649999999995,,0.403971847158283,-0.2711895108222961,-0.3486538827419281,-0.09784882515668862,-0.5455899834632874,-0.2666527032852173,-1.361545205116272,5.47537062750808
1997-01-01,CHN,1997,,,2.805582560251412,9.4,782.9140000000001,967.886,20.394,391.46299999999997,3.8190000000000004,0.40124666026558903,,,,,,,5.32872477511541
1998-01-01,CHN,1998,,,-0.7748677020944958,7.8500000000000005,829.995,1035.51,20.438,414.885,3.039,0.3993429485799351,-0.3539550006389618,-0.1987832933664322,-0.3941052258014679,-0.4768053591251373,-0.2677083909511566,-1.4374377727508545,5.15257606788124
1999-01-01,CHN,1999,,,-1.399388316031069,7.8500000000000005,875.4029999999999,1101.134,21.608999999999998,436.8805,1.917,0.398291056536944,,,,,,,5.38174517730774
2000-01-01,CHN,2000,,,0.3479745232426672,8.625,962.844,1220.337,22.708,480.378,1.6740000000000002,0.397989771928511,-0.2085487097501754,-0.1588428765535354,-0.2099168747663498,-0.5161171555519104,-0.3249551951885223,-1.3840805292129517,5.69685913330763
2001-01-01,CHN,2001,,,0.7224639667890299,8.4,1058.845,1351.372,24.252,528.4985,1.288,0.396427088516847,,,,,,,5.05939972036735
2002-01-01,CHN,2002,,,-0.7322734547231206,9.2,1157.325,1486.6179999999997,25.553,577.5165000000001,2.383,0.395368311670486,-0.5578975677490234,-0.1230972036719322,-0.3276271820068359,-0.5170297622680664,-0.5827658772468567,-1.5941931009292605,4.49707971791212
2003-01-01,CHN,2003,,,1.128621104191789,10.15,1300.767,1680.942,26.417999999999996,649.5500000000001,2.561,0.409591175530475,-0.3952654898166656,-0.1475872993469238,-0.5653579235076904,-0.5530438423156738,-0.3920488357543945,-1.512429118156433,4.59747720225922
2004-01-01,CHN,2004,,,3.8339431474946686,10.200000000000001,1522.4000000000003,1978.937,26.0,760.687,3.484,0.407065800123566,-0.5650615692138672,-0.1099303886294364,-0.3906806707382202,-0.5854687094688416,-0.3462288379669189,-1.4624639749526978,4.0992374038629
2005-01-01,CHN,2005,,,1.778287419213903,11.4,1778.515,2325.515,25.91,888.7815,5.692,0.406391542814289,-0.6178877353668213,-0.1406404972076416,-0.5017566084861755,-0.6501728892326355,-0.18376947939395896,-1.5007851123809814,5.18382354167201
2006-01-01,CHN,2006,,,1.6493722729565288,12.674999999999999,2128.055,2797.286,25.173999999999996,1063.683,8.288,0.403972634708985,-0.5188876986503601,0.0357880145311355,-0.5400301218032837,-0.6998934149742126,-0.2583872079849243,-1.7489702701568604,9.36165071603258
2007-01-01,CHN,2007,3.9915416666666665,-0.6388004740936662,4.815966220389563,14.15,2733.851,3612.2100000000005,28.708,1367.146,9.777,0.401644314705913,-0.5992346405982971,0.1659973710775375,-0.5005537271499634,-0.5973977446556091,-0.23336341977119437,-1.7212501764297483,9.48656065879134
2008-01-01,CHN,2008,3.989932224333114,0.3246769934528833,5.963405236523664,9.799999999999999,3503.948,4653.314,26.715,1752.1634999999999,9.038,0.399141821448358,-0.5263076424598694,0.1657790243625641,-0.49308842420578,-0.4791746735572815,-0.21839340031147,-1.6994972229003906,10.4028242898057
2009-01-01,CHN,2009,3.338263163663028,0.08159223444604594,-0.7247969413742156,9.275,3878.741,5176.18,33.985,1938.7205000000001,4.7,0.396646417978792,-0.5194566249847412,0.09324204921722408,-0.4517813324928283,-0.4632137715816498,-0.2980939447879791,-1.701168417930603,10.9465039038837
2010-01-01,CHN,2010,3.4837944747068783,0.2693218834791387,3.1741314666011746,10.674999999999999,4578.228,6138.992000000001,33.343,2289.158,3.874,0.39338232277798707,-0.5700098872184753,0.09184485673904412,-0.6570606827735901,-0.4726018607616424,-0.3209549784660339,-1.6805474758148191,12.5687038238618
2011-01-01,CHN,2011,3.881248763515068,1.08796326881653,5.559280372264365,9.5,5651.562000000001,7624.861,33.184,2825.975,1.785,0.39138577969624794,-0.5147275924682617,0.0836087092757225,-0.6020548343658447,-0.4538099765777588,-0.2591362595558166,-1.6376091241836548,12.5920397378421
2012-01-01,CHN,2012,3.4697150532237493,1.6670131287815497,2.6248417104333184,7.8500000000000005,6388.178,8682.939,33.825,3194.181,2.481,0.390545976672936,-0.438275933265686,0.015367764048278299,-0.5387820601463318,-0.5453844666481018,-0.2843328416347503,-1.6379414796829224,12.7693729721122
2013-01-01,CHN,2013,3.835102643383822,1.4843505168553797,2.6205758245354582,7.7749999999999995,7155.028000000001,9782.784,36.438,3577.355,1.515,0.38875553483393,-0.3558876514434814,-0.0051206895150244,-0.5437899231910706,-0.5258893966674805,-0.3316081762313843,-1.6315205097198486,13.1740256315336
2014-01-01,CHN,2014,4.194743754313319,1.6541406683154969,1.9230263479467817,7.5,7774.592,10701.415,39.308,3887.2329999999997,2.206,0.387525654471401,-0.337719589471817,0.354851633310318,-0.5225840210914612,-0.3960531949996948,-0.3313344120979309,-1.6167807579040527,5.67260054219363
2015-01-01,CHN,2015,3.408140414725167,1.2719168191199925,1.4371546410265668,7.0249999999999995,8174.331999999999,11307.226,40.782,4086.168,2.591,0.386337833427969,-0.2999218702316284,0.4174230098724365,-0.5525596737861633,-0.4084556996822357,-0.3541174530982971,-1.6607831716537476,6.31688536288946
2016-01-01,CHN,2016,2.879975078368957,1.0384103917842478,2.0002856442121,6.75,8222.25,11448.003000000002,49.72,4109.7955,1.671,0.386313077048712,-0.2680943012237549,0.3563837707042694,-0.5022213459014893,-0.3239687383174896,-0.3140017390251159,-1.5593478679656982,6.11304633808385
2017-01-01,CHN,2017,3.6454825732572345,1.3149848038006546,1.5928255711331054,6.925,8930.226,12503.299,53.903,4463.8150000000005,1.5089999999999997,0.38554107240777996,-0.2916261255741119,0.4168756306171417,-0.23255810141563407,-0.2551780939102173,-0.1794264167547226,-1.5035303831100464,5.91880048285596
2018-01-01,CHN,2018,3.660423247093084,0.7497076991652936,2.0743243875692916,6.75,10040.46,14110.962999999998,55.577,5018.5255,0.171,0.3847931831732219,-0.2868482172489166,0.4966784417629242,-0.2985724806785583,-0.18647919595241538,-0.2285855263471603,-1.4593887329101562,5.79494408660367
2019-01-01,CHN,2019,3.2013292517894754,1.057229770130783,2.8960515366007855,6.1000000000000005,10334.456,14572.409999999998,59.441,5164.645,0.706,0.3839722303205,-0.312614381313324,0.5448625087738037,-0.2597806751728058,-0.2616815268993377,-0.3043199777603149,-1.6269062757492063,8.67698311319322
2020-01-01,CHN,2020,2.973701679111478,2.0790329808506742,2.4392533585420275,1.9500000000000002,10695.519,15103.356999999998,69.035,5343.4485,1.648,0.383590366160879,-0.0710281431674957,0.6439716815948486,-0.474127858877182,-0.10250510275363918,-0.20264337956905357,-1.6563587188720703,9.94224597346405
2021-01-01,CHN,2021,3.0446551917835643,1.602286608929856,0.9855914093884643,9.25,12877.533000000001,18190.803,70.147,6436.2609999999995,1.9400000000000002,0.38233026533793196,0.030233584344387,0.8079116344451904,-0.5164628624916077,0.0102688856422901,-0.3322435319423675,-1.6412745714187622,9.65205007981201
2022-01-01,CHN,2022,2.7864984172077922,-0.16542069670016615,1.9750769158152568,3.15,12968.171,18307.816,75.453,6480.886000000001,2.422,0.381313954458842,0.0160636715590953,0.4942125380039215,-0.4512767195701599,-0.0421762913465499,-0.4184176325798034,-1.6013710498809814,9.04849461185692
2023-01-01,CHN,2023,2.749060234539693,-1.2077855071201216,0.23708422059684317,5.375,12960.729,18270.351,82.014,6477.4675,1.442,0.381528008944177,-0.0053701046854257,0.6790140271186829,-0.5130970478057861,-0.0401299707591533,-0.356507807970047,-1.5045541524887085,8.31272667778155
2024-01-01,CHN,2024,2.2206774266920206,-1.9865259130968453,0.2183682210081643,5.0,13312.700000000003,18748.009,88.327,6653.155500000001,2.261,,,,,,,,
2025-01-01,CHN,2025,1.6909478439063024,-2.714614096659397,-0.0708738798887212,5.3,13687.267,19231.705,96.306,6839.963500000001,1.886,,,,,,,,
1980-01-01,CIV,1980,,,,-10.96,,,,,,,,,,,,,
1981-01-01,CIV,1981,,,,3.5,,,,,,,,,,,,,
1982-01-01,CIV,1982,,,,0.20000000000000004,,,,,,,,,,,,,
1983-01-01,CIV,1983,,,,-3.9,,,,,,,,,,,,,
1984-01-01,CIV,1984,,,,-2.7000000000000006,,,,,,,,,,,,,
1985-01-01,CIV,1985,,,,4.5,,,,,,,,,,,,,
1986-01-01,CIV,1986,,,,3.26,,,,,,,,,,,,,
1987-01-01,CIV,1987,,,,-0.3499999999999999,,,,,,,,,,,,,
1988-01-01,CIV,1988,,,,1.14,,,,,,,,,,,,,
1989-01-01,CIV,1989,,,,2.9500000000000006,,,,,,,,,,,,,
1990-01-01,CIV,1990,,,,-1.1,1348.805,14.923,,1348.805,-8.136,,,,,,,,
1991-01-01,CIV,1991,,,,0.04,1260.371,14.504,,1260.371,-7.405,,,,,,,,
1992-01-01,CIV,1992,,,,-0.24,1288.913,15.416000000000002,,1288.913,-6.569,,,,,,,,
1993-01-01,CIV,1993,,,,-0.19000000000000003,1161.76,15.268,,1161.76,-5.84,,,,,,,,
1994-01-01,CIV,1994,,,,0.81,848.957,11.491999999999999,,848.957,-0.12,,,,,,,,
1995-01-01,CIV,1995,,,,7.13,1091.591,15.205,,1091.591,-3.2389999999999994,0.494340247460916,,,,,,,-1.68327030143917
1996-01-01,CIV,1996,,,,6.7,1171.414,16.78,,1171.414,-0.967,0.492776564775512,-0.2605668306350708,-0.2609782218933105,0.0334169194102287,-0.785435140132904,-0.3985770046710968,-0.5832255482673645,-1.70929617681734
1997-01-01,CIV,1997,,,,5.7,1092.136,16.203,84.182,547.2965,-0.955,0.493768048409798,,,,,,,-2.3386940702524
1998-01-01,CIV,1998,,,,4.9,1134.494,17.433,75.16,568.2905,-1.665,0.49632514199184,-0.4970316588878631,-0.2332075983285904,-0.2038146257400512,-0.9229142069816588,-0.2859642505645752,-0.638677179813385,-3.0065692635259
1999-01-01,CIV,1999,,,,1.6000000000000003,1082.768,17.114,78.018,542.1675,-0.698,0.500031523069561,,,,,,,-3.72876297896303
