iso3,Date,gdp_per_capita
ARG,2023-12-01,13835.967
ARG,2024-01-01,13415.312
ARG,2024-02-01,13415.312
ARG,2024-03-01,13415.312
ARG,2024-04-01,13415.312
ARG,2024-05-01,13415.312
ARG,2024-06-01,13415.312
ARG,2024-07-01,13415.312
ARG,2024-08-01,13415.312
ARG,2024-09-01,13415.312
ARG,2024-10-01,13415.312
ARG,2024-11-01,13415.312
ARG,2024-12-01,13415.312
ARG,2025-01-01,14362.247
ARG,2025-02-01,14362.247
ARG,2025-03-01,14362.247
ARG,2025-04-01,14362.247
ARG,2025-05-01,14362.247
ARG,2025-06-01,14362.247
ARG,2025-07-01,14362.247
ARG,2025-08-01,14362.247
ARG,2025-09-01,14362.247
ARG,2025-10-01,14362.247
ARG,2025-11-01,14362.247
ARG,2025-12-01,14362.247
AUS,1990-01-01,18877.81
AUS,1990-02-01,18877.81
AUS,1990-03-01,18877.81
AUS,1990-04-01,18877.81
