iso3,Date,NEER
AUS,1997-03-01,91.48
AUS,1997-04-01,90.87
AUS,1997-05-01,89.75
AUS,1997-06-01,87.06
AUS,1997-07-01,87.08
AUS,1997-08-01,88.79
AUS,1997-09-01,87.06
AUS,1997-10-01,87.07
AUS,1997-11-01,84.77
AUS,1997-12-01,84.18
AUS,1998-01-01,86.38
AUS,1998-02-01,87.5
AUS,1998-03-01,86.99
AUS,1998-04-01,84.47
AUS,1998-05-01,82.21
AUS,1998-06-01,80.26
AUS,1998-07-01,82.39
AUS,1998-08-01,79.13
AUS,1998-09-01,77.24
AUS,1998-10-01,78.39
AUS,1998-11-01,80.55
AUS,1998-12-01,78.17
AUS,1999-01-01,79.76
AUS,1999-02-01,82.24
AUS,1999-03-01,82.25
AUS,1999-04-01,83.85
AUS,1999-05-01,86.61
AUS,1999-06-01,86.21
AUS,1999-07-01,86.5
AUS,1999-08-01,83.95
AUS,1999-09-01,84.27
AUS,1999-10-01,83.9
AUS,1999-11-01,82.9
AUS,1999-12-01,83.17
AUS,2000-01-01,85.38
AUS,2000-02-01,83.08
AUS,2000-03-01,80.69
AUS,2000-04-01,79.35
AUS,2000-05-01,78.57
AUS,2000-06-01,79.64
AUS,2000-07-01,79.55
AUS,2000-08-01,79.39
AUS,2000-09-01,76.73
AUS,2000-10-01,74.04
AUS,2000-11-01,73.68
AUS,2000-12-01,76.49
AUS,2001-01-01,77.23
AUS,2001-02-01,74.72
AUS,2001-03-01,71.66
AUS,2001-04-01,72.18
AUS,2001-05-01,74.98
AUS,2001-06-01,75.42
AUS,2001-07-01,74.43
AUS,2001-08-01,74.92
AUS,2001-09-01,72.07
AUS,2001-10-01,72.52
AUS,2001-11-01,74.69
AUS,2001-12-01,74.66
AUS,2002-01-01,75.72
AUS,2002-02-01,75.66
AUS,2002-03-01,76.91
AUS,2002-04-01,78.04
AUS,2002-05-01,78.7
AUS,2002-06-01,80.08
AUS,2002-07-01,76.59
AUS,2002-08-01,75.6
AUS,2002-09-01,76.44
AUS,2002-10-01,77.28
AUS,2002-11-01,78.05
AUS,2002-12-01,77.68
AUS,2003-01-01,78.75
AUS,2003-02-01,80.12
AUS,2003-03-01,81.21
AUS,2003-04-01,82.19
AUS,2003-05-01,84.79
AUS,2003-06-01,86.77
AUS,2003-07-01,87.14
AUS,2003-08-01,86.34
AUS,2003-09-01,86.93
AUS,2003-10-01,89.17
AUS,2003-11-01,91.82
AUS,2003-12-01,93.08
AUS,2004-01-01,95.64
AUS,2004-02-01,96.41
AUS,2004-03-01,94.22
AUS,2004-04-01,94.17
AUS,2004-05-01,90.28
AUS,2004-06-01,88.04
AUS,2004-07-01,90.33
AUS,2004-08-01,89.91
AUS,2004-09-01,88.61
AUS,2004-10-01,91.58
AUS,2004-11-01,93.88
AUS,2004-12-01,92.32
AUS,2005-01-01,92.66
AUS,2005-02-01,94.6
AUS,2005-03-01,94.58
AUS,2005-04-01,94.12
